train_type,coach_no,coach_type_code,coach_type_name,coach_layout_id
SAPSAN_TYPE1_CLASSIC,1,TYPESAPSAN_TYPE1_CLASSIC_COACH01,"Поезд SAPSAN_TYPE1_CLASSIC, вагон 01",SAPSAN_TYPE1_CLASSIC_coach01_v001
SAPSAN_TYPE1_CLASSIC,2,TYPESAPSAN_TYPE1_CLASSIC_COACH02,"Поезд SAPSAN_TYPE1_CLASSIC, вагон 02",SAPSAN_TYPE1_CLASSIC_coach02_v001
SAPSAN_TYPE1_CLASSIC,3,TYPESAPSAN_TYPE1_CLASSIC_COACH03,"Поезд SAPSAN_TYPE1_CLASSIC, вагон 03",SAPSAN_TYPE1_CLASSIC_coach03_v001
SAPSAN_TYPE1_CLASSIC,4,TYPESAPSAN_TYPE1_CLASSIC_COACH04,"Поезд SAPSAN_TYPE1_CLASSIC, вагон 04",SAPSAN_TYPE1_CLASSIC_coach04_v001
SAPSAN_TYPE1_CLASSIC,5,TYPESAPSAN_TYPE1_CLASSIC_COACH05,"Поезд SAPSAN_TYPE1_CLASSIC, вагон 05",SAPSAN_TYPE1_CLASSIC_coach05_v001
SAPSAN_TYPE1_CLASSIC,6,TYPESAPSAN_TYPE1_CLASSIC_COACH06,"Поезд SAPSAN_TYPE1_CLASSIC, вагон 06",SAPSAN_TYPE1_CLASSIC_coach06_v001
SAPSAN_TYPE1_CLASSIC,7,TYPESAPSAN_TYPE1_CLASSIC_COACH07,"Поезд SAPSAN_TYPE1_CLASSIC, вагон 07",SAPSAN_TYPE1_CLASSIC_coach07_v001
SAPSAN_TYPE1_CLASSIC,8,TYPESAPSAN_TYPE1_CLASSIC_COACH08,"Поезд SAPSAN_TYPE1_CLASSIC, вагон 08",SAPSAN_TYPE1_CLASSIC_coach08_v001
SAPSAN_TYPE1_CLASSIC,9,TYPESAPSAN_TYPE1_CLASSIC_COACH09,"Поезд SAPSAN_TYPE1_CLASSIC, вагон 09",SAPSAN_TYPE1_CLASSIC_coach09_v001
SAPSAN_TYPE1_CLASSIC,10,TYPESAPSAN_TYPE1_CLASSIC_COACH10,"Поезд SAPSAN_TYPE1_CLASSIC, вагон 10",SAPSAN_TYPE1_CLASSIC_coach10_v001
