train_type,coach_no,seat_no,service_class,is_window,is_aisle,is_table,is_forward_msk_spb,is_service,is_free_seating,is_small_pet,is_animal,is_mgn
SAPSAN_TYPE2_UPDATED_FAMILY,1,1,1В,1,0,0,1,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,1,2,1В,0,1,0,1,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,1,3,1В,1,0,0,,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,1,5,1В,1,0,0,1,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,1,6,1В,0,1,0,1,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,1,7,1В,1,0,0,,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,1,9,1В,1,0,0,1,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,1,10,1В,0,1,0,1,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,1,11,1В,1,0,0,,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,1,13,1В,1,0,0,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,1,14,1В,0,1,0,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,1,15,1В,1,0,0,,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,1,17,1В,1,0,0,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,1,18,1В,0,1,0,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,1,19,1В,1,0,0,,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,1,21,1В,1,0,0,,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,1,23,1В,1,0,0,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,1,24,1В,0,1,0,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,1,25,1В,1,0,0,,0,0,0,0,0
