train_type,coach_no,seat_no,service_class,is_window,is_aisle,is_table,is_forward_msk_spb,is_service,is_free_seating,is_small_pet,is_animal,is_mgn,is_unaccompanied_minor,is_mother_child
SAPSAN_TYPE3_UPDATED_ECONPLUS,1,1,1В,1,0,0,1,0,0,0,0,0,0,0
SAPSAN_TYPE3_UPDATED_ECONPLUS,1,2,1В,0,1,0,1,0,0,0,0,0,0,0
SAPSAN_TYPE3_UPDATED_ECONPLUS,1,3,1В,1,0,0,,0,0,0,0,0,0,0
SAPSAN_TYPE3_UPDATED_ECONPLUS,1,5,1В,1,0,0,1,0,0,0,0,0,0,0
SAPSAN_TYPE3_UPDATED_ECONPLUS,1,6,1В,0,1,0,1,0,0,0,0,0,0,0
SAPSAN_TYPE3_UPDATED_ECONPLUS,1,7,1В,1,0,0,,0,0,0,0,0,0,0
SAPSAN_TYPE3_UPDATED_ECONPLUS,1,9,1В,1,0,0,1,0,0,0,0,0,0,0
SAPSAN_TYPE3_UPDATED_ECONPLUS,1,10,1В,0,1,0,1,0,0,0,0,0,0,0
SAPSAN_TYPE3_UPDATED_ECONPLUS,1,11,1В,1,0,0,,0,0,0,0,0,0,0
SAPSAN_TYPE3_UPDATED_ECONPLUS,1,13,1В,1,0,0,0,0,0,0,0,0,0,0
SAPSAN_TYPE3_UPDATED_ECONPLUS,1,14,1В,0,1,0,0,0,0,0,0,0,0,0
SAPSAN_TYPE3_UPDATED_ECONPLUS,1,15,1В,1,0,0,,0,0,0,0,0,0,0
SAPSAN_TYPE3_UPDATED_ECONPLUS,1,17,1В,1,0,0,0,0,0,0,0,0,0,0
SAPSAN_TYPE3_UPDATED_ECONPLUS,1,18,1В,0,1,0,0,0,0,0,0,0,0,0
SAPSAN_TYPE3_UPDATED_ECONPLUS,1,19,1В,1,0,0,,0,0,0,0,0,0,0
SAPSAN_TYPE3_UPDATED_ECONPLUS,1,21,1Е,1,0,0,,0,0,0,0,0,0,0
SAPSAN_TYPE3_UPDATED_ECONPLUS,1,23,1Е,1,0,0,,0,0,0,0,0,0,0
SAPSAN_TYPE3_UPDATED_ECONPLUS,1,27,1Р,1,0,0,1,0,0,0,0,0,0,0
SAPSAN_TYPE3_UPDATED_ECONPLUS,1,28,1Р,0,1,0,1,0,0,0,0,0,0,0
SAPSAN_TYPE3_UPDATED_ECONPLUS,1,29,1Р,1,0,0,0,0,0,0,0,0,0,0
SAPSAN_TYPE3_UPDATED_ECONPLUS,1,30,1Р,0,1,0,0,0,0,0,0,0,0,0
SAPSAN_TYPE3_UPDATED_ECONPLUS,2,1,1С,1,0,0,1,0,0,0,0,0,0,0
SAPSAN_TYPE3_UPDATED_ECONPLUS,2,2,1С,0,1,0,1,0,0,0,0,0,0,0
